time,susceptible,exposed,infected,recovered,new_exposed,new_infected,new_recovered,deaths
131,0.05644907186861318,0.0005516136970802912,0.001040908293649635,0.896640215328468,4.36488606569343e-05,8.75881389781021e-05,0.00016377606328467172,0.04531819379562042
132,0.056409078357664226,0.000510895694890511,0.0009646184500729937,0.8967920043795629,4.0422504671532856e-05,8.114041656934312e-05,0.00015179640781021883,0.04532339897810219
133,0.05637204300000008,0.0004731666554744532,0.0008938732135766425,0.8969326868613139,3.743484507299267e-05,7.516355700729922e-05,0.00014068812766423368,0.04532822226277371
134,0.05633774356204384,0.00043821206569343013,0.0008282662451824821,0.8970630905109486,3.466792540145979e-05,6.962206883211685e-05,0.00013039040496350376,0.04533269226277376
135,0.056305978810219,0.0004058331693430658,0.0007674221393430647,0.8971839262773716,3.2105239270073e-05,6.448433343065689e-05,0.00012084554999999994,0.0453368328467153
136,0.05627656499270076,0.00037584192846715274,0.0007109966991970796,0.8972959248175173,2.9731131240875972e-05,5.972239503649633e-05,0.00011199468788321192,0.045340669343065666
137,0.05624932693430659,0.00034806350656934254,0.0006586747182481746,0.897399718248175,2.75319009124088e-05,5.531027503649637e-05,0.00010378422570802908,0.045344225547445244
138,0.05622410397810211,0.000322334951240876,0.0006101645189781032,0.8974958788321175,2.5494455408759172e-05,5.122302394160578e-05,9.616741386861329e-05,0.04534751883211681
139,0.05620074944525545,0.00029850453153284687,0.0005651969540146001,0.897584970802922,2.3607323255474464e-05,4.743775802919709e-05,8.910143153284677e-05,0.04535057043795622
140,0.0561791239562043,0.0002764323832116786,0.0005235204116788334,0.897667521167885,2.1859340540146e-05,4.3931543649635e-05,8.254809861313867e-05,0.04535339649635035
141,0.05615909892700732,0.0002559874952554744,0.00048489943153284706,0.8977440000000005,2.0240605605839442e-05,4.06846445693431e-05,7.64716597080291e-05,0.045356012408759035
142,0.05614055838686122,0.0002370531517518251,0.00044911238919707967,0.8978148364963515,1.874157678832118e-05,3.767651489051099e-05,7.08395225547445e-05,0.045358437080292
